Unnamed: 0,Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg
105,B  Chipli,"RCB, DCH, DDV",23,280,18.67,0,
106,S D  Chitnis,"MIN, RRO, KXI",11,99,14.14,2,30.0
107,A Chopra,KKR,7,53,8.83,0,
108,P Chopra,RRO,2,8,8.0,0,
109,A V Choudhary,RCB,5,25,25.0,5,28.8
110,D T Christian,"DCH, RCB, RPS, DDV",49,460,14.38,38,31.37
111,M J Clarke,PWI,6,98,16.33,2,33.5
112,P D Collingwood,DDV,8,203,40.6,5,20.2
113,D P Conway,CSK,23,924,48.63,0,
114,K  Cooper,RRO,25,116,12.89,33,22.94
115,S S Cottrell,KXI,6,0,0.0,6,29.33
116,N M Coulter-Nile,"MIN, DDV, KKR, RRO",39,82,7.45,48,22.92
117,P J Cummins,"KKR, DDV",42,379,18.95,45,30.16
118,S M Curran,"KXI, CSK",46,613,24.52,42,35.33
119,T K Curran,"KKR, RRO, DDV",13,127,25.4,13,33.08
120,B C J Cutting,"RRO, SUN, MIN",21,238,21.64,10,42.9
121,M J Dagar,SUN,3,0,,1,83.0
122,C J Dala,DDV,1,0,,0,
123,M K P A Dananjaya,MIN,1,4,,0,
124,D B  Das,KKR,31,304,21.71,0,
125,H  Das,DCH,1,2,2.0,0,
126,T H David,"RCB, MIN",25,418,27.87,0,
127,Y Dayal,GTI,14,0,0.0,13,35.46
128,C de Grandhomme,"KKR, RCB",25,303,18.94,6,55.5
129,Q de Kock,"SUN, DDV, RCB, MIN, LSG",96,2907,32.3,0,
130,M de Lange,"KKR, MIN",5,1,1.0,5,33.8
131,P W H de Silva,RCB,26,72,7.2,35,21.37
132,A B de Villiers,"DDV, RCB",184,5162,39.71,0,
133,J L Denly,KKR,1,0,0.0,0,
134,T U Deshpande,"DDV, CSK",23,21,21.0,25,32.76
135,K H  Devdhar,DCH,1,0,,0,
136,P Dharmani,KXI,1,0,,0,
137,R Dhawan,"MIN, KXI",38,210,19.09,25,34.24
138,S Dhawan,"DDV, MIN, DCH, SUN, KXI",217,6617,35.39,4,16.5
139,M S Dhoni,"CSK, RPS",250,5082,38.79,0,
140,Y V Dhull,DDV,4,16,5.33,0,
141,T M Dilshan,"DDV, RCB",52,1153,26.81,5,69.6
142,A B Dinda,"KKR, DDV, PWI, RCB, RPS",78,26,2.6,69,30.04
143,P  Dogra,"RRO, KXI, KKR",13,127,11.55,0,
144,A P  Dole,RRO,3,34,17.0,5,22.4
145,N D  Doshi,"RCB, RRO",4,0,0.0,2,39.5
146,R Dravid,"RCB, RRO",89,2174,28.23,0,
147,F du Plessis,"CSK, RPS, RCB",130,4133,36.9,0,
148,D  du Preez,RCB,2,10,10.0,4,14.0
149,S Dube,"RCB, RRO, CSK",51,1106,28.36,4,41.5
150,P Dubey,DDV,4,23,23.0,1,91.0
151,J-P Duminy,"MIN, DCH, DDV",83,2029,39.78,23,36.26
152,B R Dunk,MIN,3,40,13.33,0,
153,E R Dwivedi,GUJ,4,24,12.0,0,
154,F H Edwards,DCH,6,4,4.0,5,30.8
155,N Ellis,KXI,15,19,4.75,17,28.47
156,J P Faulkner,"PWI, KXI, RRO, GUJ",60,527,21.08,59,30.14
157,F Y Fazal,RRO,12,183,18.3,0,
158,Fazalhaq Farooqi,SUN,7,3,,6,37.83
159,C J Ferguson,PWI,9,98,16.33,0,
160,L H Ferguson,"RPS, KKR, GTI",38,67,33.5,37,31.65
161,C R D Fernando,MIN,10,4,,17,17.53
162,A J Finch,"RRO, DDV, PWI, SUN, MIN, GUJ, KXI, RCB, KKR",92,2091,25.19,1,67.0
