match_id,season,balls_per_over,city,dates,match_referees,reserve_umpires,tv_umpires,umpire1,umpire2,winner,result,player_of_match,toss_decision,toss_winner,dl_applied,venue,team_a,team_b,target_overs,target_runs,win_by_runs,win_by_wickets
197,IPL-2020,6,,2020-10-17,V Narayan Kutty,VA Kulkarni,C Shamshuddin,KN Ananthapadmanabhan,RK Illingworth,Delhi Capitals,normal,S Dhawan,bat,Chennai Super Kings,0,Sharjah Cricket Stadium,Chennai Super Kings,Delhi Capitals,20.0,180,0,5
198,IPL-2020,6,,2020-09-24,J Srinath,AY Dandekar,Nitin Menon,AK Chaudhary,PR Reiffel,Kings XI Punjab,normal,KL Rahul,field,Royal Challengers Bangalore,0,Dubai International Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,20.0,207,97,0
199,IPL-2020,6,Abu Dhabi,2020-10-06,Shakti Singh,UV Gandhe,CB Gaffaney,VK Sharma,S Ravi,Mumbai Indians,normal,SA Yadav,bat,Mumbai Indians,0,Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,20.0,194,57,0
200,IPL-2020,6,Abu Dhabi,2020-10-18,M Nayyar,UV Gandhe,VK Sharma,PG Pathak,S Ravi,,tie,LH Ferguson,field,Sunrisers Hyderabad,0,Sheikh Zayed Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,20.0,164,0,0
201,IPL-2020,6,,2020-10-04,J Srinath,YC Barde,PR Reiffel,AY Dandekar,Nitin Menon,Chennai Super Kings,normal,SR Watson,bat,Kings XI Punjab,0,Dubai International Cricket Stadium,Kings XI Punjab,Chennai Super Kings,20.0,179,0,10
202,IPL-2020,6,Abu Dhabi,2020-10-03,M Nayyar,UV Gandhe,PG Pathak,CB Gaffaney,S Ravi,Royal Challengers Bangalore,normal,YS Chahal,bat,Rajasthan Royals,0,Sheikh Zayed Stadium,Rajasthan Royals,Royal Challengers Bangalore,20.0,155,0,8
203,IPL-2020,6,,2020-10-03,V Narayan Kutty,K Srinivasan,KN Ananthapadmanabhan,VA Kulkarni,RK Illingworth,Delhi Capitals,normal,SS Iyer,field,Kolkata Knight Riders,0,Sharjah Cricket Stadium,Delhi Capitals,Kolkata Knight Riders,20.0,229,18,0
204,IPL-2020,6,,2020-10-02,Prakash Bhatt,AY Dandekar,YC Barde,AK Chaudhary,PR Reiffel,Sunrisers Hyderabad,normal,PK Garg,bat,Sunrisers Hyderabad,0,Dubai International Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,20.0,165,7,0
205,IPL-2020,6,,2020-10-18,J Srinath,AY Dandekar,AK Chaudhary,Nitin Menon,PR Reiffel,,tie,KL Rahul,bat,Mumbai Indians,0,Dubai International Cricket Stadium,Mumbai Indians,Kings XI Punjab,20.0,177,0,0
206,IPL-2020,6,,2020-10-22,J Srinath,AY Dandekar,AK Chaudhary,Nitin Menon,PR Reiffel,Sunrisers Hyderabad,normal,MK Pandey,field,Sunrisers Hyderabad,0,Dubai International Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,20.0,155,0,8
207,IPL-2020,6,,2020-10-05,Prakash Bhatt,AY Dandekar,PR Reiffel,Nitin Menon,YC Barde,Delhi Capitals,normal,AR Patel,field,Royal Challengers Bangalore,0,Dubai International Cricket Stadium,Delhi Capitals,Royal Challengers Bangalore,20.0,197,59,0
208,IPL-2020,6,,2020-10-26,V Narayan Kutty,VA Kulkarni,K Srinivasan,KN Ananthapadmanabhan,RK Illingworth,Kings XI Punjab,normal,CH Gayle,field,Kings XI Punjab,0,Sharjah Cricket Stadium,Kolkata Knight Riders,Kings XI Punjab,20.0,150,0,8
209,IPL-2020,6,,2020-10-23,V Narayan Kutty,K Srinivasan,RK Illingworth,C Shamshuddin,VA Kulkarni,Mumbai Indians,normal,TA Boult,field,Mumbai Indians,0,Sharjah Cricket Stadium,Chennai Super Kings,Mumbai Indians,20.0,115,0,10
210,IPL-2020,6,,2020-10-17,J Srinath,YC Barde,PR Reiffel,AK Chaudhary,Nitin Menon,Royal Challengers Bangalore,normal,AB de Villiers,bat,Rajasthan Royals,0,Dubai International Cricket Stadium,Rajasthan Royals,Royal Challengers Bangalore,20.0,178,0,7
211,IPL-2020,6,Abu Dhabi,2020-10-10,M Nayyar,PG Pathak,VK Sharma,UV Gandhe,CB Gaffaney,Kolkata Knight Riders,normal,KD Karthik,bat,Kolkata Knight Riders,0,Sheikh Zayed Stadium,Kolkata Knight Riders,Kings XI Punjab,20.0,165,2,0
212,IPL-2020,6,,2020-10-27,J Srinath,AY Dandekar,PR Reiffel,AK Chaudhary,Nitin Menon,Sunrisers Hyderabad,normal,WP Saha,field,Delhi Capitals,0,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,20.0,220,88,0
213,IPL-2020,6,,2020-10-10,J Srinath,YC Barde,AY Dandekar,AK Chaudhary,PR Reiffel,Royal Challengers Bangalore,normal,V Kohli,bat,Royal Challengers Bangalore,0,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,20.0,170,37,0
214,IPL-2020,6,Abu Dhabi,2020-10-16,M Nayyar,PG Pathak,S Ravi,CB Gaffaney,VK Sharma,Mumbai Indians,normal,Q de Kock,bat,Kolkata Knight Riders,0,Sheikh Zayed Stadium,Kolkata Knight Riders,Mumbai Indians,20.0,149,0,8
215,IPL-2020,6,,2020-09-27,V Narayan Kutty,VA Kulkarni,C Shamshuddin,RK Illingworth,K Srinivasan,Rajasthan Royals,normal,SV Samson,field,Rajasthan Royals,0,Sharjah Cricket Stadium,Kings XI Punjab,Rajasthan Royals,20.0,224,0,4
216,IPL-2020,6,,2020-10-13,J Srinath,YC Barde,Nitin Menon,AK Chaudhary,PR Reiffel,Chennai Super Kings,normal,RA Jadeja,bat,Chennai Super Kings,0,Dubai International Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,20.0,168,20,0
217,IPL-2020,6,Abu Dhabi,2020-10-11,Shakti Singh,UV Gandhe,VK Sharma,CB Gaffaney,S Ravi,Mumbai Indians,normal,Q de Kock,bat,Delhi Capitals,0,Sheikh Zayed Stadium,Delhi Capitals,Mumbai Indians,20.0,163,0,5
218,IPL-2020,6,,2020-11-01,Shakti Singh,YC Barde,AK Chaudhary,Nitin Menon,PR Reiffel,Kolkata Knight Riders,normal,PJ Cummins,field,Rajasthan Royals,0,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,20.0,192,60,0
219,IPL-2020,6,,2020-10-15,V Narayan Kutty,K Srinivasan,RK Illingworth,KN Ananthapadmanabhan,C Shamshuddin,Kings XI Punjab,normal,KL Rahul,bat,Royal Challengers Bangalore,0,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,20.0,172,0,8
220,IPL-2020,6,Abu Dhabi,2020-09-29,M Nayyar,PG Pathak,CB Gaffaney,VK Sharma,S Ravi,Sunrisers Hyderabad,normal,Rashid Khan,field,Delhi Capitals,0,Sheikh Zayed Stadium,Sunrisers Hyderabad,Delhi Capitals,20.0,163,15,0
221,IPL-2020,6,Abu Dhabi,2020-10-19,M Nayyar,PG Pathak,UV Gandhe,CB Gaffaney,VK Sharma,Rajasthan Royals,normal,JC Buttler,bat,Chennai Super Kings,0,Sheikh Zayed Stadium,Chennai Super Kings,Rajasthan Royals,20.0,126,0,7
222,IPL-2020,6,,2020-09-21,Prakash Bhatt,YC Barde,AK Chaudhary,AY Dandekar,Nitin Menon,Royal Challengers Bangalore,normal,YS Chahal,field,Sunrisers Hyderabad,0,Dubai International Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,20.0,164,10,0
223,IPL-2020,6,,2020-10-31,J Srinath,AY Dandekar,AK Chaudhary,YC Barde,PR Reiffel,Mumbai Indians,normal,Ishan Kishan,field,Mumbai Indians,0,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,20.0,111,0,9
224,IPL-2020,6,,2020-10-29,Prakash Bhatt,K Srinivasan,KN Ananthapadmanabhan,C Shamshuddin,RK Illingworth,Chennai Super Kings,normal,RD Gaikwad,field,Chennai Super Kings,0,Dubai International Cricket Stadium,Kolkata Knight Riders,Chennai Super Kings,20.0,173,0,6
225,IPL-2020,6,Abu Dhabi,2020-10-30,M Nayyar,UV Gandhe,PG Pathak,CB Gaffaney,S Ravi,Rajasthan Royals,normal,BA Stokes,field,Rajasthan Royals,0,Sheikh Zayed Stadium,Kings XI Punjab,Rajasthan Royals,20.0,186,0,7
226,IPL-2020,6,,2020-10-04,V Narayan Kutty,VA Kulkarni,K Srinivasan,KN Ananthapadmanabhan,RK Illingworth,Mumbai Indians,normal,TA Boult,bat,Mumbai Indians,0,Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,20.0,209,34,0
227,IPL-2020,6,,2020-09-25,V Narayan Kutty,VA Kulkarni,K Srinivasan,KN Ananthapadmanabhan,RK Illingworth,Delhi Capitals,normal,PP Shaw,field,Chennai Super Kings,0,Dubai International Cricket Stadium,Delhi Capitals,Chennai Super Kings,20.0,176,44,0
228,IPL-2020,6,,2020-10-12,V Narayan Kutty,VA Kulkarni,KN Ananthapadmanabhan,RK Illingworth,K Srinivasan,Royal Challengers Bangalore,normal,AB de Villiers,bat,Royal Challengers Bangalore,0,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,20.0,195,82,0
229,IPL-2020,6,Abu Dhabi,2020-10-25,Shakti Singh,PG Pathak,S Ravi,UV Gandhe,VK Sharma,Rajasthan Royals,normal,BA Stokes,bat,Mumbai Indians,0,Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,20.0,196,0,8
230,IPL-2020,6,,2020-10-08,J Srinath,AY Dandekar,YC Barde,AK Chaudhary,Nitin Menon,Sunrisers Hyderabad,normal,JM Bairstow,bat,Sunrisers Hyderabad,0,Dubai International Cricket Stadium,Sunrisers Hyderabad,Kings XI Punjab,20.0,202,69,0
231,IPL-2020,6,,2020-10-14,J Srinath,YC Barde,AY Dandekar,AK Chaudhary,Nitin Menon,Delhi Capitals,normal,A Nortje,bat,Delhi Capitals,0,Dubai International Cricket Stadium,Delhi Capitals,Rajasthan Royals,20.0,162,13,0
232,IPL-2020,6,,2020-10-25,Prakash Bhatt,VA Kulkarni,KN Ananthapadmanabhan,C Shamshuddin,RK Illingworth,Chennai Super Kings,normal,RD Gaikwad,bat,Royal Challengers Bangalore,0,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,20.0,146,0,8
233,IPL-2020,6,Abu Dhabi,2020-09-26,Shakti Singh,UV Gandhe,S Ravi,CB Gaffaney,VK Sharma,Kolkata Knight Riders,normal,Shubman Gill,bat,Sunrisers Hyderabad,0,Sheikh Zayed Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,20.0,143,0,7
234,IPL-2020,6,,2020-10-20,Prakash Bhatt,K Srinivasan,KN Ananthapadmanabhan,C Shamshuddin,RK Illingworth,Kings XI Punjab,normal,S Dhawan,bat,Delhi Capitals,0,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,20.0,165,0,5
235,IPL-2020,6,,2020-09-28,J Srinath,YC Barde,AK Chaudhary,Nitin Menon,PR Reiffel,,tie,AB de Villiers,field,Mumbai Indians,0,Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians,20.0,202,0,0
236,IPL-2020,6,,2020-11-05,J Srinath,AK Chaudhary,KN Ananthapadmanabhan,CB Gaffaney,Nitin Menon,Mumbai Indians,normal,JJ Bumrah,field,Delhi Capitals,0,Dubai International Cricket Stadium,Mumbai Indians,Delhi Capitals,20.0,201,57,0
237,IPL-2020,6,Abu Dhabi,2020-11-06,M Nayyar,C Shamshuddin,VK Sharma,PR Reiffel,S Ravi,Sunrisers Hyderabad,normal,KS Williamson,field,Sunrisers Hyderabad,0,Sheikh Zayed Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,20.0,132,0,6
238,IPL-2020,6,Abu Dhabi,2020-11-08,M Nayyar,VK Sharma,C Shamshuddin,PR Reiffel,S Ravi,Delhi Capitals,normal,MP Stoinis,bat,Delhi Capitals,0,Sheikh Zayed Stadium,Delhi Capitals,Sunrisers Hyderabad,20.0,190,17,0
239,IPL-2020,6,,2020-11-10,J Srinath,KN Ananthapadmanabhan,AK Chaudhary,CB Gaffaney,Nitin Menon,Mumbai Indians,normal,TA Boult,bat,Delhi Capitals,0,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,20.0,157,0,5
240,IPL-2021,6,Chennai,2021-04-09,V Narayan Kutty,UV Gandhe,C Shamshuddin,KN Ananthapadmanabhan,Nitin Menon,Royal Challengers Bangalore,normal,HV Patel,field,Royal Challengers Bangalore,0,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Royal Challengers Bangalore,20.0,160,0,2
241,IPL-2021,6,Mumbai,2021-04-10,M Nayyar,AY Dandekar,S Ravi,AK Chaudhary,VK Sharma,Delhi Capitals,normal,S Dhawan,field,Delhi Capitals,0,"Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals,20.0,189,0,7
242,IPL-2021,6,Chennai,2021-04-11,V Narayan Kutty,HAS Khalid,CB Gaffaney,KN Ananthapadmanabhan,Nitin Menon,Kolkata Knight Riders,normal,N Rana,field,Sunrisers Hyderabad,0,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Sunrisers Hyderabad,20.0,188,10,0
243,IPL-2021,6,Mumbai,2021-04-12,M Nayyar,YC Barde,VK Sharma,AK Chaudhary,S Ravi,Punjab Kings,normal,SV Samson,field,Rajasthan Royals,0,"Wankhede Stadium, Mumbai",Punjab Kings,Rajasthan Royals,20.0,222,4,0
244,IPL-2021,6,Chennai,2021-04-13,S Chaturvedi,HAS Khalid,KN Ananthapadmanabhan,C Shamshuddin,CB Gaffaney,Mumbai Indians,normal,RD Chahar,field,Kolkata Knight Riders,0,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Kolkata Knight Riders,20.0,153,10,0
245,IPL-2021,6,Chennai,2021-04-14,V Narayan Kutty,Tapan Sharma,C Shamshuddin,Nitin Menon,UV Gandhe,Royal Challengers Bangalore,normal,GJ Maxwell,field,Sunrisers Hyderabad,0,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Sunrisers Hyderabad,20.0,150,6,0
246,IPL-2021,6,Mumbai,2021-04-15,Shakti Singh,J Madanagopal,AK Chaudhary,S Ravi,VK Sharma,Rajasthan Royals,normal,JD Unadkat,field,Rajasthan Royals,0,"Wankhede Stadium, Mumbai",Delhi Capitals,Rajasthan Royals,20.0,148,0,3
247,IPL-2021,6,Mumbai,2021-04-16,Prakash Bhatt,Navdeep Singh,VK Sharma,AK Chaudhary,AY Dandekar,Chennai Super Kings,normal,DL Chahar,field,Chennai Super Kings,0,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings,20.0,107,0,6
248,IPL-2021,6,Chennai,2021-04-17,S Chaturvedi,Tapan Sharma,KN Ananthapadmanabhan,CB Gaffaney,K Srinivasan,Mumbai Indians,normal,KA Pollard,bat,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Sunrisers Hyderabad,20.0,151,13,0
249,IPL-2021,6,Chennai,2021-04-18,V Narayan Kutty,K Srinivasan,CB Gaffaney,C Shamshuddin,Nitin Menon,Royal Challengers Bangalore,normal,AB de Villiers,bat,Royal Challengers Bangalore,0,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Kolkata Knight Riders,20.0,205,38,0
250,IPL-2021,6,Mumbai,2021-04-18,M Nayyar,J Madanagopal,S Ravi,AK Chaudhary,PR Reiffel,Delhi Capitals,normal,S Dhawan,field,Delhi Capitals,0,"Wankhede Stadium, Mumbai",Punjab Kings,Delhi Capitals,20.0,196,0,6
251,IPL-2021,6,Mumbai,2021-04-19,Prakash Bhatt,Navdeep Singh,YC Barde,PR Reiffel,VK Sharma,Chennai Super Kings,normal,MM Ali,field,Rajasthan Royals,0,"Wankhede Stadium, Mumbai",Chennai Super Kings,Rajasthan Royals,20.0,189,45,0
252,IPL-2021,6,Chennai,2021-04-20,V Narayan Kutty,Tapan Sharma,UV Gandhe,C Shamshuddin,CB Gaffaney,Delhi Capitals,normal,A Mishra,bat,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Delhi Capitals,20.0,138,0,6
253,IPL-2021,6,Chennai,2021-04-21,S Chaturvedi,HAS Khalid,KN Ananthapadmanabhan,K Srinivasan,Nitin Menon,Sunrisers Hyderabad,normal,JM Bairstow,bat,Punjab Kings,0,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,Sunrisers Hyderabad,20.0,121,0,9
254,IPL-2021,6,Mumbai,2021-04-21,Shakti Singh,YC Barde,AK Chaudhary,AY Dandekar,PR Reiffel,Chennai Super Kings,normal,F du Plessis,field,Kolkata Knight Riders,0,"Wankhede Stadium, Mumbai",Chennai Super Kings,Kolkata Knight Riders,20.0,221,18,0
255,IPL-2021,6,Mumbai,2021-04-22,Shakti Singh,AY Dandekar,VK Sharma,J Madanagopal,S Ravi,Royal Challengers Bangalore,normal,D Padikkal,field,Royal Challengers Bangalore,0,"Wankhede Stadium, Mumbai",Rajasthan Royals,Royal Challengers Bangalore,20.0,178,0,10
256,IPL-2021,6,Chennai,2021-04-23,V Narayan Kutty,UV Gandhe,HAS Khalid,C Shamshuddin,Nitin Menon,Punjab Kings,normal,KL Rahul,field,Punjab Kings,0,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Punjab Kings,20.0,132,0,9
257,IPL-2021,6,Mumbai,2021-04-24,M Nayyar,YC Barde,PR Reiffel,Navdeep Singh,S Ravi,Rajasthan Royals,normal,CH Morris,field,Rajasthan Royals,0,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Rajasthan Royals,20.0,134,0,6
258,IPL-2021,6,Mumbai,2021-04-25,Shakti Singh,J Madanagopal,Navdeep Singh,AK Chaudhary,VK Sharma,Chennai Super Kings,normal,RA Jadeja,bat,Chennai Super Kings,0,"Wankhede Stadium, Mumbai",Chennai Super Kings,Royal Challengers Bangalore,20.0,192,69,0
259,IPL-2021,6,Chennai,2021-04-25,S Chaturvedi,K Srinivasan,Tapan Sharma,CB Gaffaney,KN Ananthapadmanabhan,,tie,PP Shaw,bat,Delhi Capitals,0,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,Sunrisers Hyderabad,20.0,160,0,0
260,IPL-2021,6,Ahmedabad,2021-04-26,Prakash Bhatt,AY Dandekar,S Ravi,PR Reiffel,YC Barde,Kolkata Knight Riders,normal,EJG Morgan,field,Kolkata Knight Riders,0,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Kolkata Knight Riders,20.0,124,0,5
261,IPL-2021,6,Ahmedabad,2021-04-27,M Nayyar,J Madanagopal,AK Chaudhary,S Ravi,VK Sharma,Royal Challengers Bangalore,normal,AB de Villiers,field,Delhi Capitals,0,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,Delhi Capitals,20.0,172,1,0
262,IPL-2021,6,Delhi,2021-04-28,J Srinath,UV Gandhe,KN Ananthapadmanabhan,C Shamshuddin,CK Nandan,Chennai Super Kings,normal,RD Gaikwad,bat,Sunrisers Hyderabad,0,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Chennai Super Kings,20.0,172,0,7
263,IPL-2021,6,Delhi,2021-04-29,V Narayan Kutty,Tapan Sharma,C Shamshuddin,CB Gaffaney,KN Ananthapadmanabhan,Mumbai Indians,normal,Q de Kock,field,Mumbai Indians,0,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,Mumbai Indians,20.0,172,0,7
264,IPL-2021,6,Ahmedabad,2021-04-29,Prakash Bhatt,Navdeep Singh,AY Dandekar,AK Chaudhary,YC Barde,Delhi Capitals,normal,PP Shaw,field,Delhi Capitals,0,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Delhi Capitals,20.0,155,0,7
265,IPL-2021,6,Ahmedabad,2021-04-30,Shakti Singh,YC Barde,J Madanagopal,S Ravi,VK Sharma,Punjab Kings,normal,Harpreet Brar,field,Royal Challengers Bangalore,0,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Royal Challengers Bangalore,20.0,180,34,0
266,IPL-2021,6,Delhi,2021-05-01,J Srinath,K Srinivasan,CB Gaffaney,KN Ananthapadmanabhan,CK Nandan,Mumbai Indians,normal,KA Pollard,field,Mumbai Indians,0,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Mumbai Indians,20.0,219,0,4
267,IPL-2021,6,Delhi,2021-05-02,S Chaturvedi,HAS Khalid,UV Gandhe,C Shamshuddin,CB Gaffaney,Rajasthan Royals,normal,JC Buttler,field,Sunrisers Hyderabad,0,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,Sunrisers Hyderabad,20.0,221,55,0
268,IPL-2021,6,Ahmedabad,2021-05-02,Shakti Singh,Navdeep Singh,J Madanagopal,AK Chaudhary,AY Dandekar,Delhi Capitals,normal,MA Agarwal,field,Delhi Capitals,0,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Delhi Capitals,20.0,167,0,7
269,IPL-2021,6,Abu Dhabi,2021-09-20,V Narayan Kutty,UV Gandhe,VK Sharma,CB Gaffaney,S Ravi,Kolkata Knight Riders,normal,CV Varun,bat,Royal Challengers Bangalore,0,"Zayed Cricket Stadium, Abu Dhabi",Royal Challengers Bangalore,Kolkata Knight Riders,20.0,93,0,9
270,IPL-2021,6,Abu Dhabi,2021-10-08,V Narayan Kutty,UV Gandhe,,Tapan Sharma,VK Sharma,Mumbai Indians,normal,Ishan Kishan,bat,Mumbai Indians,0,"Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians,Sunrisers Hyderabad,20.0,236,42,0
271,IPL-2021,6,Abu Dhabi,2021-10-02,V Narayan Kutty,UV Gandhe,Tapan Sharma,CB Gaffaney,VK Sharma,Rajasthan Royals,normal,RD Gaikwad,field,Rajasthan Royals,0,"Zayed Cricket Stadium, Abu Dhabi",Chennai Super Kings,Rajasthan Royals,20.0,190,0,7
272,IPL-2021,6,Sharjah,2021-10-03,Prakash Bhatt,YC Barde,K Srinivasan,KN Ananthapadmanabhan,RK Illingworth,Royal Challengers Bangalore,normal,GJ Maxwell,bat,Royal Challengers Bangalore,0,Sharjah Cricket Stadium,Royal Challengers Bangalore,Punjab Kings,20.0,165,6,0
273,IPL-2021,6,Sharjah,2021-09-30,Prakash Bhatt,HAS Khalid,MA Gough,Nitin Menon,YC Barde,Chennai Super Kings,normal,JR Hazlewood,field,Chennai Super Kings,0,Sharjah Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,20.0,135,0,6
274,IPL-2021,6,Sharjah,2021-09-28,Prakash Bhatt,YC Barde,AK Chaudhary,Nitin Menon,HAS Khalid,Kolkata Knight Riders,normal,SP Narine,field,Kolkata Knight Riders,0,Sharjah Cricket Stadium,Delhi Capitals,Kolkata Knight Riders,20.0,128,0,3
275,IPL-2021,6,Sharjah,2021-10-05,Prakash Bhatt,K Srinivasan,J Madanagopal,AK Chaudhary,MA Gough,Mumbai Indians,normal,NM Coulter-Nile,field,Mumbai Indians,0,Sharjah Cricket Stadium,Rajasthan Royals,Mumbai Indians,20.0,91,0,8
276,IPL-2021,6,Dubai,2021-10-07,J Srinath,J Madanagopal,AY Dandekar,K Srinivasan,RK Illingworth,Punjab Kings,normal,KL Rahul,field,Punjab Kings,0,Dubai International Cricket Stadium,Chennai Super Kings,Punjab Kings,20.0,135,0,6
277,IPL-2021,6,Abu Dhabi,2021-10-06,V Narayan Kutty,Tapan Sharma,CB Gaffaney,S Ravi,UV Gandhe,Sunrisers Hyderabad,normal,KS Williamson,field,Royal Challengers Bangalore,0,"Zayed Cricket Stadium, Abu Dhabi",Sunrisers Hyderabad,Royal Challengers Bangalore,20.0,142,4,0
278,IPL-2021,6,Abu Dhabi,2021-09-23,V Narayan Kutty,Tapan Sharma,CB Gaffaney,S Ravi,VK Sharma,Kolkata Knight Riders,normal,SP Narine,field,Kolkata Knight Riders,0,"Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians,Kolkata Knight Riders,20.0,156,0,7
279,IPL-2021,6,Abu Dhabi,2021-09-25,V Narayan Kutty,Tapan Sharma,S Ravi,CB Gaffaney,UV Gandhe,Delhi Capitals,normal,SS Iyer,field,Rajasthan Royals,0,"Zayed Cricket Stadium, Abu Dhabi",Delhi Capitals,Rajasthan Royals,20.0,155,33,0
280,IPL-2021,6,Abu Dhabi,2021-09-26,V Narayan Kutty,UV Gandhe,VK Sharma,CB Gaffaney,Tapan Sharma,Chennai Super Kings,normal,RA Jadeja,bat,Kolkata Knight Riders,0,"Zayed Cricket Stadium, Abu Dhabi",Kolkata Knight Riders,Chennai Super Kings,20.0,172,0,2
281,IPL-2021,6,Abu Dhabi,2021-09-28,V Narayan Kutty,Tapan Sharma,UV Gandhe,S Ravi,VK Sharma,Mumbai Indians,normal,KA Pollard,field,Mumbai Indians,0,"Zayed Cricket Stadium, Abu Dhabi",Punjab Kings,Mumbai Indians,20.0,136,0,6
282,IPL-2021,6,Dubai,2021-09-27,J Srinath,AY Dandekar,RK Illingworth,KN Ananthapadmanabhan,Navdeep Singh,Sunrisers Hyderabad,normal,JJ Roy,bat,Rajasthan Royals,0,Dubai International Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,20.0,165,0,7
283,IPL-2021,6,Dubai,2021-10-08,Prakash Bhatt,Navdeep Singh,K Srinivasan,KN Ananthapadmanabhan,Nitin Menon,Royal Challengers Bangalore,normal,KS Bharat,field,Royal Challengers Bangalore,0,Dubai International Cricket Stadium,Delhi Capitals,Royal Challengers Bangalore,20.0,165,0,7
284,IPL-2021,6,Dubai,2021-10-01,M Nayyar,J Madanagopal,AY Dandekar,KN Ananthapadmanabhan,RK Illingworth,Punjab Kings,normal,KL Rahul,field,Punjab Kings,0,Dubai International Cricket Stadium,Kolkata Knight Riders,Punjab Kings,20.0,166,0,5
285,IPL-2021,6,Dubai,2021-09-29,M Nayyar,K Srinivasan,RK Illingworth,AY Dandekar,KN Ananthapadmanabhan,Royal Challengers Bangalore,normal,YS Chahal,field,Royal Challengers Bangalore,0,Dubai International Cricket Stadium,Rajasthan Royals,Royal Challengers Bangalore,20.0,150,0,7
286,IPL-2021,6,Dubai,2021-09-19,J Srinath,AY Dandekar,AK Chaudhary,Nitin Menon,RK Illingworth,Chennai Super Kings,normal,RD Gaikwad,bat,Chennai Super Kings,0,Dubai International Cricket Stadium,Chennai Super Kings,Mumbai Indians,20.0,157,20,0
287,IPL-2021,6,Dubai,2021-09-22,M Nayyar,K Srinivasan,J Madanagopal,KN Ananthapadmanabhan,RK Illingworth,Delhi Capitals,normal,A Nortje,bat,Sunrisers Hyderabad,0,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,20.0,135,0,8
288,IPL-2021,6,Sharjah,2021-10-07,M Nayyar,Navdeep Singh,YC Barde,MA Gough,HAS Khalid,Kolkata Knight Riders,normal,Shivam Mavi,field,Rajasthan Royals,0,Sharjah Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,20.0,172,86,0
289,IPL-2021,6,Sharjah,2021-09-25,Prakash Bhatt,J Madanagopal,KN Ananthapadmanabhan,RK Illingworth,YC Barde,Punjab Kings,normal,JO Holder,field,Sunrisers Hyderabad,0,Sharjah Cricket Stadium,Punjab Kings,Sunrisers Hyderabad,20.0,126,5,0
