match_id,season,balls_per_over,city,dates,match_referees,reserve_umpires,tv_umpires,umpire1,umpire2,winner,result,player_of_match,toss_decision,toss_winner,dl_applied,venue,team_a,team_b,target_overs,target_runs,win_by_runs,win_by_wickets
21,IPL-2017,6,Hyderabad,2017-04-19,M Nayyar,N Pandit,AY Dandekar,CB Gaffaney,NJ Llong,Sunrisers Hyderabad,normal,KS Williamson,bat,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,20.0,192,15,0
22,IPL-2017,6,Indore,2017-04-20,AJ Pycroft,R Pandit,AK Chaudhary,M Erasmus,C Shamshuddin,Mumbai Indians,normal,JC Buttler,field,Mumbai Indians,0,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,20.0,199,0,8
23,IPL-2017,6,Kolkata,2017-04-21,V Narayan Kutty,K Srinivasan,CK Nandan,CB Gaffaney,Nitin Menon,Gujarat Lions,normal,SK Raina,field,Gujarat Lions,0,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,20.0,188,0,4
24,IPL-2017,6,Mumbai,2017-04-22,J Srinath,Navdeep Singh,KN Ananthapadmanabhan,A Nand Kishore,S Ravi,Mumbai Indians,normal,MJ McClenaghan,field,Delhi Daredevils,0,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,20.0,143,14,0
25,IPL-2017,6,Pune,2017-04-22,M Nayyar,N Pandit,NJ Llong,AY Dandekar,A Deshmukh,Rising Pune Supergiant,normal,MS Dhoni,field,Rising Pune Supergiant,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Sunrisers Hyderabad,20.0,177,0,6
26,IPL-2017,6,Rajkot,2017-04-23,Chinmay Sharma,R Pandit,C Shamshuddin,AK Chaudhary,M Erasmus,Kings XI Punjab,normal,HM Amla,field,Gujarat Lions,0,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,20.0,189,26,0
27,IPL-2017,6,Kolkata,2017-04-23,V Narayan Kutty,K Srinivasan,Nitin Menon,CB Gaffaney,CK Nandan,Kolkata Knight Riders,normal,NM Coulter-Nile,field,Royal Challengers Bangalore,0,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,20.0,132,82,0
28,IPL-2017,6,Mumbai,2017-04-24,J Srinath,Navdeep Singh,KN Ananthapadmanabhan,A Nand Kishore,S Ravi,Rising Pune Supergiant,normal,BA Stokes,field,Mumbai Indians,0,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,20.0,161,3,0
29,IPL-2017,6,Pune,2017-04-26,AJ Pycroft,N Pandit,CB Gaffaney,AY Dandekar,NJ Llong,Kolkata Knight Riders,normal,RV Uthappa,field,Kolkata Knight Riders,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kolkata Knight Riders,20.0,183,0,7
30,IPL-2017,6,Bangalore,2017-04-27,Chinmay Sharma,R Pandit,M Erasmus,AK Chaudhary,C Shamshuddin,Gujarat Lions,normal,AJ Tye,field,Gujarat Lions,0,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,20.0,135,0,7
31,IPL-2017,6,Kolkata,2017-04-28,AJ Pycroft,Navdeep Singh,VK Sharma,NJ Llong,S Ravi,Kolkata Knight Riders,normal,G Gambhir,field,Kolkata Knight Riders,0,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,20.0,161,0,7
32,IPL-2017,6,Chandigarh,2017-04-28,S Chaturvedi,K Srinivasan,YC Barde,Nitin Menon,CK Nandan,Sunrisers Hyderabad,normal,Rashid Khan,field,Kings XI Punjab,0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,20.0,208,26,0
33,IPL-2017,6,Pune,2017-04-29,Chinmay Sharma,R Pandit,C Shamshuddin,KN Ananthapadmanabhan,M Erasmus,Rising Pune Supergiant,normal,LH Ferguson,field,Royal Challengers Bangalore,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,20.0,158,61,0
34,IPL-2017,6,Rajkot,2017-04-29,M Nayyar,N Pandit,A Nand Kishore,AK Chaudhary,CB Gaffaney,,tie,KH Pandya,bat,Gujarat Lions,0,Saurashtra Cricket Association Stadium,Gujarat Lions,Mumbai Indians,20.0,154,0,0
35,IPL-2017,6,Chandigarh,2017-04-30,S Chaturvedi,K Srinivasan,Nitin Menon,YC Barde,CK Nandan,Kings XI Punjab,normal,Sandeep Sharma,field,Kings XI Punjab,0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,20.0,68,0,10
36,IPL-2017,6,Hyderabad,2017-04-30,J Srinath,Navdeep Singh,VK Sharma,AY Dandekar,S Ravi,Sunrisers Hyderabad,normal,DA Warner,field,Kolkata Knight Riders,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,20.0,210,48,0
37,IPL-2017,6,Mumbai,2017-05-01,M Nayyar,N Pandit,A Deshmukh,AK Chaudhary,CB Gaffaney,Mumbai Indians,normal,RG Sharma,bat,Royal Challengers Bangalore,0,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,20.0,163,0,5
38,IPL-2017,6,Pune,2017-05-01,Chinmay Sharma,R Pandit,KN Ananthapadmanabhan,M Erasmus,C Shamshuddin,Rising Pune Supergiant,normal,BA Stokes,field,Rising Pune Supergiant,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions,20.0,162,0,5
39,IPL-2017,6,Delhi,2017-05-02,AJ Pycroft,K Srinivasan,CK Nandan,YC Barde,Nitin Menon,Delhi Daredevils,normal,Mohammed Shami,field,Delhi Daredevils,0,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,20.0,186,0,6
40,IPL-2017,6,Kolkata,2017-05-03,J Srinath,Navdeep Singh,S Ravi,KN Ananthapadmanabhan,A Nand Kishore,Rising Pune Supergiant,normal,RA Tripathi,field,Rising Pune Supergiant,0,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiant,20.0,156,0,4
41,IPL-2017,6,Delhi,2017-05-04,M Nayyar,K Srinivasan,CK Nandan,M Erasmus,Nitin Menon,Delhi Daredevils,normal,RR Pant,field,Delhi Daredevils,0,Feroz Shah Kotla,Delhi Daredevils,Gujarat Lions,20.0,209,0,7
42,IPL-2017,6,Bangalore,2017-05-05,V Narayan Kutty,N Pandit,AY Dandekar,CB Gaffaney,C Shamshuddin,Kings XI Punjab,normal,Sandeep Sharma,field,Royal Challengers Bangalore,0,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,20.0,139,19,0
43,IPL-2017,6,Hyderabad,2017-05-06,Chinmay Sharma,R Pandit,M Erasmus,KN Ananthapadmanabhan,AK Chaudhary,Rising Pune Supergiant,normal,JD Unadkat,field,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rising Pune Supergiant,20.0,149,12,0
44,IPL-2017,6,Delhi,2017-05-06,M Nayyar,K Srinivasan,YC Barde,Nitin Menon,CK Nandan,Mumbai Indians,normal,LMP Simmons,field,Delhi Daredevils,0,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,20.0,213,146,0
45,IPL-2017,6,Bangalore,2017-05-07,AJ Pycroft,N Pandit,CB Gaffaney,AY Dandekar,C Shamshuddin,Kolkata Knight Riders,normal,SP Narine,field,Kolkata Knight Riders,0,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,20.0,159,0,6
46,IPL-2017,6,Chandigarh,2017-05-07,J Srinath,Navdeep Singh,S Ravi,A Nand Kishore,VK Sharma,Gujarat Lions,normal,DR Smith,field,Gujarat Lions,0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,20.0,190,0,6
47,IPL-2017,6,Hyderabad,2017-05-08,Chinmay Sharma,R Pandit,AK Chaudhary,KN Ananthapadmanabhan,M Erasmus,Sunrisers Hyderabad,normal,S Dhawan,bat,Mumbai Indians,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,20.0,139,0,7
48,IPL-2017,6,Chandigarh,2017-05-09,J Srinath,Navdeep Singh,VK Sharma,A Nand Kishore,S Ravi,Kings XI Punjab,normal,MM Sharma,field,Kolkata Knight Riders,0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,20.0,168,14,0
49,IPL-2017,6,Kanpur,2017-05-10,V Narayan Kutty,K Srinivasan,Nitin Menon,YC Barde,AK Chaudhary,Delhi Daredevils,normal,SS Iyer,field,Delhi Daredevils,0,Green Park,Gujarat Lions,Delhi Daredevils,20.0,196,0,2
50,IPL-2017,6,Mumbai,2017-05-11,M Nayyar,N Pandit,VK Sharma,A Deshmukh,A Nand Kishore,Kings XI Punjab,normal,WP Saha,field,Mumbai Indians,0,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,20.0,231,7,0
51,IPL-2017,6,Delhi,2017-05-12,AJ Pycroft,R Pandit,C Shamshuddin,KN Ananthapadmanabhan,CK Nandan,Delhi Daredevils,normal,KK Nair,bat,Delhi Daredevils,0,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiant,20.0,169,7,0
52,IPL-2017,6,Kanpur,2017-05-13,Chinmay Sharma,K Srinivasan,YC Barde,AK Chaudhary,Nitin Menon,Sunrisers Hyderabad,normal,Mohammed Siraj,field,Sunrisers Hyderabad,0,Green Park,Gujarat Lions,Sunrisers Hyderabad,20.0,155,0,8
53,IPL-2017,6,Kolkata,2017-05-13,J Srinath,Navdeep Singh,VK Sharma,A Nand Kishore,S Ravi,Mumbai Indians,normal,AT Rayudu,field,Kolkata Knight Riders,0,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,20.0,174,9,0
