Unnamed: 0,balls_per_over,city,dates,match_referees,reserve_umpires,tv_umpires,umpires,winner,player_of_match,toss_decision,toss_winner,venue,team_a,team_b,target_overs,target_runs
230,6,,2020-10-14,J Srinath,YC Barde,AY Dandekar,"AK Chaudhary, Nitin Menon",Delhi Capitals,A Nortje,bat,Delhi Capitals,Dubai International Cricket Stadium,Delhi Capitals,Rajasthan Royals,20.0,162
231,6,,2020-10-25,Prakash Bhatt,VA Kulkarni,KN Ananthapadmanabhan,"C Shamshuddin, RK Illingworth",Chennai Super Kings,RD Gaikwad,bat,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,20.0,146
232,6,Abu Dhabi,2020-09-26,Shakti Singh,UV Gandhe,S Ravi,"CB Gaffaney, VK Sharma",Kolkata Knight Riders,Shubman Gill,bat,Sunrisers Hyderabad,Sheikh Zayed Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,20.0,143
233,6,,2020-10-20,Prakash Bhatt,K Srinivasan,KN Ananthapadmanabhan,"C Shamshuddin, RK Illingworth",Kings XI Punjab,S Dhawan,bat,Delhi Capitals,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,20.0,165
234,6,,2020-09-28,J Srinath,YC Barde,AK Chaudhary,"Nitin Menon, PR Reiffel",,AB de Villiers,field,Mumbai Indians,Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians,20.0,202
235,6,,2020-11-05,J Srinath,AK Chaudhary,KN Ananthapadmanabhan,"CB Gaffaney, Nitin Menon",Mumbai Indians,JJ Bumrah,field,Delhi Capitals,Dubai International Cricket Stadium,Mumbai Indians,Delhi Capitals,20.0,201
236,6,Abu Dhabi,2020-11-06,M Nayyar,C Shamshuddin,VK Sharma,"PR Reiffel, S Ravi",Sunrisers Hyderabad,KS Williamson,field,Sunrisers Hyderabad,Sheikh Zayed Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,20.0,132
237,6,Abu Dhabi,2020-11-08,M Nayyar,VK Sharma,C Shamshuddin,"PR Reiffel, S Ravi",Delhi Capitals,MP Stoinis,bat,Delhi Capitals,Sheikh Zayed Stadium,Delhi Capitals,Sunrisers Hyderabad,20.0,190
238,6,,2020-11-10,J Srinath,KN Ananthapadmanabhan,AK Chaudhary,"CB Gaffaney, Nitin Menon",Mumbai Indians,TA Boult,bat,Delhi Capitals,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,20.0,157
239,6,Chennai,2021-04-09,V Narayan Kutty,UV Gandhe,C Shamshuddin,"KN Ananthapadmanabhan, Nitin Menon",Royal Challengers Bangalore,HV Patel,field,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Royal Challengers Bangalore,20.0,160
240,6,Mumbai,2021-04-10,M Nayyar,AY Dandekar,S Ravi,"AK Chaudhary, VK Sharma",Delhi Capitals,S Dhawan,field,Delhi Capitals,"Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals,20.0,189
241,6,Chennai,2021-04-11,V Narayan Kutty,HAS Khalid,CB Gaffaney,"KN Ananthapadmanabhan, Nitin Menon",Kolkata Knight Riders,N Rana,field,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Sunrisers Hyderabad,20.0,188
242,6,Mumbai,2021-04-12,M Nayyar,YC Barde,VK Sharma,"AK Chaudhary, S Ravi",Punjab Kings,SV Samson,field,Rajasthan Royals,"Wankhede Stadium, Mumbai",Punjab Kings,Rajasthan Royals,20.0,222
243,6,Chennai,2021-04-13,S Chaturvedi,HAS Khalid,KN Ananthapadmanabhan,"C Shamshuddin, CB Gaffaney",Mumbai Indians,RD Chahar,field,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Kolkata Knight Riders,20.0,153
244,6,Chennai,2021-04-14,V Narayan Kutty,Tapan Sharma,C Shamshuddin,"Nitin Menon, UV Gandhe",Royal Challengers Bangalore,GJ Maxwell,field,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Sunrisers Hyderabad,20.0,150
245,6,Mumbai,2021-04-15,Shakti Singh,J Madanagopal,AK Chaudhary,"S Ravi, VK Sharma",Rajasthan Royals,JD Unadkat,field,Rajasthan Royals,"Wankhede Stadium, Mumbai",Delhi Capitals,Rajasthan Royals,20.0,148
246,6,Mumbai,2021-04-16,Prakash Bhatt,Navdeep Singh,VK Sharma,"AK Chaudhary, AY Dandekar",Chennai Super Kings,DL Chahar,field,Chennai Super Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings,20.0,107
247,6,Chennai,2021-04-17,S Chaturvedi,Tapan Sharma,KN Ananthapadmanabhan,"CB Gaffaney, K Srinivasan",Mumbai Indians,KA Pollard,bat,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Sunrisers Hyderabad,20.0,151
248,6,Chennai,2021-04-18,V Narayan Kutty,K Srinivasan,CB Gaffaney,"C Shamshuddin, Nitin Menon",Royal Challengers Bangalore,AB de Villiers,bat,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Kolkata Knight Riders,20.0,205
249,6,Mumbai,2021-04-18,M Nayyar,J Madanagopal,S Ravi,"AK Chaudhary, PR Reiffel",Delhi Capitals,S Dhawan,field,Delhi Capitals,"Wankhede Stadium, Mumbai",Punjab Kings,Delhi Capitals,20.0,196
250,6,Mumbai,2021-04-19,Prakash Bhatt,Navdeep Singh,YC Barde,"PR Reiffel, VK Sharma",Chennai Super Kings,MM Ali,field,Rajasthan Royals,"Wankhede Stadium, Mumbai",Chennai Super Kings,Rajasthan Royals,20.0,189
251,6,Chennai,2021-04-20,V Narayan Kutty,Tapan Sharma,UV Gandhe,"C Shamshuddin, CB Gaffaney",Delhi Capitals,A Mishra,bat,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Delhi Capitals,20.0,138
252,6,Chennai,2021-04-21,S Chaturvedi,HAS Khalid,KN Ananthapadmanabhan,"K Srinivasan, Nitin Menon",Sunrisers Hyderabad,JM Bairstow,bat,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,Sunrisers Hyderabad,20.0,121
253,6,Mumbai,2021-04-21,Shakti Singh,YC Barde,AK Chaudhary,"AY Dandekar, PR Reiffel",Chennai Super Kings,F du Plessis,field,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Chennai Super Kings,Kolkata Knight Riders,20.0,221
254,6,Mumbai,2021-04-22,Shakti Singh,AY Dandekar,VK Sharma,"J Madanagopal, S Ravi",Royal Challengers Bangalore,D Padikkal,field,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Rajasthan Royals,Royal Challengers Bangalore,20.0,178
255,6,Chennai,2021-04-23,V Narayan Kutty,UV Gandhe,HAS Khalid,"C Shamshuddin, Nitin Menon",Punjab Kings,KL Rahul,field,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Punjab Kings,20.0,132
256,6,Mumbai,2021-04-24,M Nayyar,YC Barde,PR Reiffel,"Navdeep Singh, S Ravi",Rajasthan Royals,CH Morris,field,Rajasthan Royals,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Rajasthan Royals,20.0,134
257,6,Mumbai,2021-04-25,Shakti Singh,J Madanagopal,Navdeep Singh,"AK Chaudhary, VK Sharma",Chennai Super Kings,RA Jadeja,bat,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,Royal Challengers Bangalore,20.0,192
258,6,Chennai,2021-04-25,S Chaturvedi,K Srinivasan,Tapan Sharma,"CB Gaffaney, KN Ananthapadmanabhan",,PP Shaw,bat,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,Sunrisers Hyderabad,20.0,160
259,6,Ahmedabad,2021-04-26,Prakash Bhatt,AY Dandekar,S Ravi,"PR Reiffel, YC Barde",Kolkata Knight Riders,EJG Morgan,field,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Kolkata Knight Riders,20.0,124
260,6,Ahmedabad,2021-04-27,M Nayyar,J Madanagopal,AK Chaudhary,"S Ravi, VK Sharma",Royal Challengers Bangalore,AB de Villiers,field,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,Delhi Capitals,20.0,172
261,6,Delhi,2021-04-28,J Srinath,UV Gandhe,KN Ananthapadmanabhan,"C Shamshuddin, CK Nandan",Chennai Super Kings,RD Gaikwad,bat,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Chennai Super Kings,20.0,172
262,6,Delhi,2021-04-29,V Narayan Kutty,Tapan Sharma,C Shamshuddin,"CB Gaffaney, KN Ananthapadmanabhan",Mumbai Indians,Q de Kock,field,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,Mumbai Indians,20.0,172
263,6,Ahmedabad,2021-04-29,Prakash Bhatt,Navdeep Singh,AY Dandekar,"AK Chaudhary, YC Barde",Delhi Capitals,PP Shaw,field,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Delhi Capitals,20.0,155
264,6,Ahmedabad,2021-04-30,Shakti Singh,YC Barde,J Madanagopal,"S Ravi, VK Sharma",Punjab Kings,Harpreet Brar,field,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Royal Challengers Bangalore,20.0,180
265,6,Delhi,2021-05-01,J Srinath,K Srinivasan,CB Gaffaney,"KN Ananthapadmanabhan, CK Nandan",Mumbai Indians,KA Pollard,field,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Mumbai Indians,20.0,219
266,6,Delhi,2021-05-02,S Chaturvedi,HAS Khalid,UV Gandhe,"C Shamshuddin, CB Gaffaney",Rajasthan Royals,JC Buttler,field,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,Sunrisers Hyderabad,20.0,221
267,6,Ahmedabad,2021-05-02,Shakti Singh,Navdeep Singh,J Madanagopal,"AK Chaudhary, AY Dandekar",Delhi Capitals,MA Agarwal,field,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Delhi Capitals,20.0,167
268,6,Abu Dhabi,2021-09-20,V Narayan Kutty,UV Gandhe,VK Sharma,"CB Gaffaney, S Ravi",Kolkata Knight Riders,CV Varun,bat,Royal Challengers Bangalore,"Zayed Cricket Stadium, Abu Dhabi",Royal Challengers Bangalore,Kolkata Knight Riders,20.0,93
269,6,Abu Dhabi,2021-10-08,V Narayan Kutty,UV Gandhe,,"Tapan Sharma, VK Sharma",Mumbai Indians,Ishan Kishan,bat,Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians,Sunrisers Hyderabad,20.0,236
270,6,Abu Dhabi,2021-10-02,V Narayan Kutty,UV Gandhe,Tapan Sharma,"CB Gaffaney, VK Sharma",Rajasthan Royals,RD Gaikwad,field,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",Chennai Super Kings,Rajasthan Royals,20.0,190
271,6,Sharjah,2021-10-03,Prakash Bhatt,YC Barde,K Srinivasan,"KN Ananthapadmanabhan, RK Illingworth",Royal Challengers Bangalore,GJ Maxwell,bat,Royal Challengers Bangalore,Sharjah Cricket Stadium,Royal Challengers Bangalore,Punjab Kings,20.0,165
272,6,Sharjah,2021-09-30,Prakash Bhatt,HAS Khalid,MA Gough,"Nitin Menon, YC Barde",Chennai Super Kings,JR Hazlewood,field,Chennai Super Kings,Sharjah Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,20.0,135
273,6,Sharjah,2021-09-28,Prakash Bhatt,YC Barde,AK Chaudhary,"Nitin Menon, HAS Khalid",Kolkata Knight Riders,SP Narine,field,Kolkata Knight Riders,Sharjah Cricket Stadium,Delhi Capitals,Kolkata Knight Riders,20.0,128
274,6,Sharjah,2021-10-05,Prakash Bhatt,K Srinivasan,J Madanagopal,"AK Chaudhary, MA Gough",Mumbai Indians,NM Coulter-Nile,field,Mumbai Indians,Sharjah Cricket Stadium,Rajasthan Royals,Mumbai Indians,20.0,91
275,6,Dubai,2021-10-07,J Srinath,J Madanagopal,AY Dandekar,"K Srinivasan, RK Illingworth",Punjab Kings,KL Rahul,field,Punjab Kings,Dubai International Cricket Stadium,Chennai Super Kings,Punjab Kings,20.0,135
276,6,Abu Dhabi,2021-10-06,V Narayan Kutty,Tapan Sharma,CB Gaffaney,"S Ravi, UV Gandhe",Sunrisers Hyderabad,KS Williamson,field,Royal Challengers Bangalore,"Zayed Cricket Stadium, Abu Dhabi",Sunrisers Hyderabad,Royal Challengers Bangalore,20.0,142
277,6,Abu Dhabi,2021-09-23,V Narayan Kutty,Tapan Sharma,CB Gaffaney,"S Ravi, VK Sharma",Kolkata Knight Riders,SP Narine,field,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians,Kolkata Knight Riders,20.0,156
278,6,Abu Dhabi,2021-09-25,V Narayan Kutty,Tapan Sharma,S Ravi,"CB Gaffaney, UV Gandhe",Delhi Capitals,SS Iyer,field,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",Delhi Capitals,Rajasthan Royals,20.0,155
279,6,Abu Dhabi,2021-09-26,V Narayan Kutty,UV Gandhe,VK Sharma,"CB Gaffaney, Tapan Sharma",Chennai Super Kings,RA Jadeja,bat,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",Kolkata Knight Riders,Chennai Super Kings,20.0,172
280,6,Abu Dhabi,2021-09-28,V Narayan Kutty,Tapan Sharma,UV Gandhe,"S Ravi, VK Sharma",Mumbai Indians,KA Pollard,field,Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi",Punjab Kings,Mumbai Indians,20.0,136
281,6,Dubai,2021-09-27,J Srinath,AY Dandekar,RK Illingworth,"KN Ananthapadmanabhan, Navdeep Singh",Sunrisers Hyderabad,JJ Roy,bat,Rajasthan Royals,Dubai International Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,20.0,165
282,6,Dubai,2021-10-08,Prakash Bhatt,Navdeep Singh,K Srinivasan,"KN Ananthapadmanabhan, Nitin Menon",Royal Challengers Bangalore,KS Bharat,field,Royal Challengers Bangalore,Dubai International Cricket Stadium,Delhi Capitals,Royal Challengers Bangalore,20.0,165
283,6,Dubai,2021-10-01,M Nayyar,J Madanagopal,AY Dandekar,"KN Ananthapadmanabhan, RK Illingworth",Punjab Kings,KL Rahul,field,Punjab Kings,Dubai International Cricket Stadium,Kolkata Knight Riders,Punjab Kings,20.0,166
284,6,Dubai,2021-09-29,M Nayyar,K Srinivasan,RK Illingworth,"AY Dandekar, KN Ananthapadmanabhan",Royal Challengers Bangalore,YS Chahal,field,Royal Challengers Bangalore,Dubai International Cricket Stadium,Rajasthan Royals,Royal Challengers Bangalore,20.0,150
285,6,Dubai,2021-09-19,J Srinath,AY Dandekar,AK Chaudhary,"Nitin Menon, RK Illingworth",Chennai Super Kings,RD Gaikwad,bat,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings,Mumbai Indians,20.0,157
286,6,Dubai,2021-09-22,M Nayyar,K Srinivasan,J Madanagopal,"KN Ananthapadmanabhan, RK Illingworth",Delhi Capitals,A Nortje,bat,Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,20.0,135
287,6,Sharjah,2021-10-07,M Nayyar,Navdeep Singh,YC Barde,"MA Gough, HAS Khalid",Kolkata Knight Riders,Shivam Mavi,field,Rajasthan Royals,Sharjah Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,20.0,172
288,6,Sharjah,2021-09-25,Prakash Bhatt,J Madanagopal,KN Ananthapadmanabhan,"RK Illingworth, YC Barde",Punjab Kings,JO Holder,field,Sunrisers Hyderabad,Sharjah Cricket Stadium,Punjab Kings,Sunrisers Hyderabad,20.0,126
289,6,Dubai,2021-09-26,M Nayyar,HAS Khalid,Nitin Menon,"AK Chaudhary, MA Gough",Royal Challengers Bangalore,GJ Maxwell,field,Mumbai Indians,Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians,20.0,166
290,6,Dubai,2021-10-03,M Nayyar,HAS Khalid,Navdeep Singh,"J Madanagopal, MA Gough",Kolkata Knight Riders,Shubman Gill,bat,Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,20.0,116
291,6,Dubai,2021-10-04,J Srinath,AY Dandekar,HAS Khalid,"AK Chaudhary, Nitin Menon",Delhi Capitals,AR Patel,field,Delhi Capitals,Dubai International Cricket Stadium,Chennai Super Kings,Delhi Capitals,20.0,137
292,6,Dubai,2021-09-21,Prakash Bhatt,YC Barde,KN Ananthapadmanabhan,"AK Chaudhary, MA Gough",Rajasthan Royals,Kartik Tyagi,field,Punjab Kings,Dubai International Cricket Stadium,Rajasthan Royals,Punjab Kings,20.0,186
293,6,Sharjah,2021-10-02,J Srinath,Navdeep Singh,Nitin Menon,"AK Chaudhary, MA Gough",Delhi Capitals,AR Patel,field,Delhi Capitals,Sharjah Cricket Stadium,Mumbai Indians,Delhi Capitals,20.0,130
294,6,Sharjah,2021-09-24,J Srinath,Navdeep Singh,MA Gough,"AK Chaudhary, Nitin Menon",Chennai Super Kings,DJ Bravo,field,Chennai Super Kings,Sharjah Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,20.0,157
295,6,Dubai,2021-10-10,J Srinath,KN Ananthapadmanabhan,MA Gough,"Nitin Menon, RK Illingworth",Chennai Super Kings,RD Gaikwad,field,Chennai Super Kings,Dubai International Cricket Stadium,Delhi Capitals,Chennai Super Kings,20.0,173
296,6,Sharjah,2021-10-11,M Nayyar,S Ravi,AK Chaudhary,"CB Gaffaney, VK Sharma",Kolkata Knight Riders,SP Narine,bat,Royal Challengers Bangalore,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,20.0,139
297,6,Sharjah,2021-10-13,M Nayyar,AK Chaudhary,CB Gaffaney,"KN Ananthapadmanabhan, MA Gough",Kolkata Knight Riders,VR Iyer,field,Kolkata Knight Riders,Sharjah Cricket Stadium,Delhi Capitals,Kolkata Knight Riders,20.0,136
298,6,Dubai,2021-10-15,J Srinath,VK Sharma,S Ravi,"Nitin Menon, RK Illingworth",Chennai Super Kings,F du Plessis,field,Kolkata Knight Riders,Dubai International Cricket Stadium,Chennai Super Kings,Kolkata Knight Riders,20.0,193
299,6,Mumbai,2022-03-26,M Nayyar,Chirra Ravikanthreddy,VK Sharma,"AK Chaudhary, Nitin Menon",Kolkata Knight Riders,UT Yadav,field,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Chennai Super Kings,Kolkata Knight Riders,20.0,132
300,6,Mumbai,2022-03-27,Prakash Bhatt,N Pandit,J Madanagopal,"RJ Tucker, HAS Khalid",Delhi Capitals,Kuldeep Yadav,field,Delhi Capitals,"Brabourne Stadium, Mumbai",Mumbai Indians,Delhi Capitals,20.0,178
301,6,Mumbai,2022-03-27,M Nayyar,R Pandit,AK Chaudhary,"Nitin Menon, YC Barde",Punjab Kings,OF Smith,field,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Punjab Kings,20.0,206
302,6,Mumbai,2022-03-28,DS Manohar,GR Sadashiv Iyer,RJ Tucker,"PG Pathak, VK Sharma",Gujarat Titans,Mohammed Shami,field,Gujarat Titans,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Gujarat Titans,20.0,159
303,6,Pune,2022-03-29,Shakti Singh,MV Saidharshan Kumar,KN Ananthapadmanabhan,"BNJ Oxenford, UV Gandhe",Rajasthan Royals,SV Samson,field,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals,Sunrisers Hyderabad,20.0,211
304,6,Mumbai,2022-03-30,M Nayyar,Chirra Ravikanthreddy,Nitin Menon,"J Madanagopal, Navdeep Singh",Royal Challengers Bangalore,PWH de Silva,field,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,Royal Challengers Bangalore,20.0,129
305,6,Mumbai,2022-03-31,J Srinath,NA Patwardhan,YC Barde,"RJ Tucker, VK Sharma",Lucknow Super Giants,E Lewis,field,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Chennai Super Kings,Lucknow Super Giants,20.0,211
306,6,Mumbai,2022-04-01,Prakash Bhatt,A Totre,J Madanagopal,"AK Chaudhary, HAS Khalid",Kolkata Knight Riders,UT Yadav,field,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Punjab Kings,Kolkata Knight Riders,20.0,138
307,6,Mumbai,2022-04-02,DS Manohar,N Pandit,VK Sharma,"Nitin Menon, PG Pathak",Rajasthan Royals,JC Buttler,field,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,Mumbai Indians,20.0,194
308,6,Pune,2022-04-02,Shakti Singh,Vinod Seshan,BNJ Oxenford,"KN Ananthapadmanabhan, UV Gandhe",Gujarat Titans,LH Ferguson,field,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans,Delhi Capitals,20.0,172
309,6,Mumbai,2022-04-03,J Srinath,R Pandit,AK Chaudhary,"RJ Tucker, YC Barde",Punjab Kings,LS Livingstone,field,Chennai Super Kings,"Brabourne Stadium, Mumbai",Punjab Kings,Chennai Super Kings,20.0,181
310,6,Mumbai,2022-04-04,M Nayyar,GR Sadashiv Iyer,VK Sharma,"J Madanagopal, Navdeep Singh",Lucknow Super Giants,Avesh Khan,field,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,Sunrisers Hyderabad,20.0,170
311,6,Mumbai,2022-04-05,Prakash Bhatt,NA Patwardhan,Nitin Menon,"AK Chaudhary, HAS Khalid",Royal Challengers Bangalore,KD Karthik,field,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Rajasthan Royals,Royal Challengers Bangalore,20.0,170
312,6,Pune,2022-04-06,V Narayan Kutty,MV Saidharshan Kumar,UV Gandhe,"BNJ Oxenford, KN Ananthapadmanabhan",Kolkata Knight Riders,PJ Cummins,field,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,Kolkata Knight Riders,20.0,162
313,6,Mumbai,2022-04-07,Shakti Singh,A Totre,J Madanagopal,"RJ Tucker, Tapan Sharma",Lucknow Super Giants,Q de Kock,field,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,Lucknow Super Giants,20.0,150
314,6,Mumbai,2022-04-08,J Srinath,Chirra Ravikanthreddy,PG Pathak,"AK Chaudhary, VK Sharma",Gujarat Titans,Shubman Gill,field,Gujarat Titans,"Brabourne Stadium, Mumbai",Punjab Kings,Gujarat Titans,20.0,190
315,6,Mumbai,2022-04-09,J Srinath,N Pandit,YC Barde,"Navdeep Singh, Nitin Menon",Sunrisers Hyderabad,Abhishek Sharma,field,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,Sunrisers Hyderabad,20.0,155
316,6,Pune,2022-04-09,V Narayan Kutty,Vinod Seshan,UV Gandhe,"BNJ Oxenford, KN Ananthapadmanabhan",Royal Challengers Bangalore,Anuj Rawat,field,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,Royal Challengers Bangalore,20.0,152
317,6,Mumbai,2022-04-10,Prakash Bhatt,R Pandit,HAS Khalid,"CB Gaffaney, J Madanagopal",Delhi Capitals,Kuldeep Yadav,field,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Delhi Capitals,Kolkata Knight Riders,20.0,216
318,6,Mumbai,2022-04-10,J Srinath,GR Sadashiv Iyer,PG Pathak,"AK Chaudhary, Tapan Sharma",Rajasthan Royals,YS Chahal,field,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Rajasthan Royals,Lucknow Super Giants,20.0,166
319,6,Mumbai,2022-04-11,DS Manohar,NA Patwardhan,VK Sharma,"Chirra Ravikanthreddy, RJ Tucker",Sunrisers Hyderabad,KS Williamson,field,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Sunrisers Hyderabad,20.0,163
320,6,Mumbai,2022-04-12,J Srinath,A Totre,YC Barde,"Nitin Menon, N Pandit",Chennai Super Kings,S Dube,field,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,Royal Challengers Bangalore,20.0,217
321,6,Pune,2022-04-13,V Narayan Kutty,MV Saidharshan Kumar,KN Ananthapadmanabhan,"BNJ Oxenford, UV Gandhe",Punjab Kings,MA Agarwal,field,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Punjab Kings,Mumbai Indians,20.0,199
322,6,Mumbai,2022-04-14,M Nayyar,Tapan Sharma,J Madanagopal,"CB Gaffaney, R Pandit",Gujarat Titans,HH Pandya,field,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Rajasthan Royals,20.0,193
323,6,Mumbai,2022-04-15,Prakash Bhatt,PG Pathak,HAS Khalid,"GR Sadashiv Iyer, VK Sharma",Sunrisers Hyderabad,RA Tripathi,field,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Kolkata Knight Riders,Sunrisers Hyderabad,20.0,176
324,6,Mumbai,2022-04-16,Shakti Singh,YC Barde,Navdeep Singh,"AK Chaudhary, NA Patwardhan",Lucknow Super Giants,KL Rahul,field,Mumbai Indians,"Brabourne Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians,20.0,200
325,6,Mumbai,2022-04-16,J Srinath,N Pandit,CB Gaffaney,"Chirra Ravikanthreddy, J Madanagopal",Royal Challengers Bangalore,KD Karthik,field,Delhi Capitals,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,Delhi Capitals,20.0,190
326,6,Mumbai,2022-04-17,DS Manohar,A Totre,RJ Tucker,"PG Pathak, R Pandit",Sunrisers Hyderabad,Umran Malik,field,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad,20.0,152
327,6,Pune,2022-04-17,V Narayan Kutty,Vinod Seshan,BNJ Oxenford,"KN Ananthapadmanabhan, UV Gandhe",Gujarat Titans,DA Miller,field,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans,20.0,170
328,6,Mumbai,2022-04-18,M Nayyar,NA Patwardhan,Nitin Menon,"GR Sadashiv Iyer, VK Sharma",Rajasthan Royals,YS Chahal,field,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders,20.0,218
329,6,Mumbai,2022-04-19,Prakash Bhatt,Chirra Ravikanthreddy,J Madanagopal,"CB Gaffaney, N Pandit",Royal Challengers Bangalore,F du Plessis,field,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants,20.0,182
330,6,Mumbai,2022-04-20,Shakti Singh,R Pandit,AK Chaudhary,"RJ Tucker, Tapan Sharma",Delhi Capitals,Kuldeep Yadav,field,Delhi Capitals,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals,20.0,116
331,6,Navi Mumbai,2022-04-21,V Narayan Kutty,MV Saidharshan Kumar,KN Ananthapadmanabhan,"BNJ Oxenford, UV Gandhe",Chennai Super Kings,Mukesh Choudhary,field,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings,20.0,156
