Unnamed: 0,balls_per_over,city,dates,match_referees,reserve_umpires,tv_umpires,umpires,winner,player_of_match,toss_decision,toss_winner,venue,team_a,team_b,target_overs,target_runs
23,6,Mumbai,2017-04-22,J Srinath,Navdeep Singh,KN Ananthapadmanabhan,"A Nand Kishore, S Ravi",Mumbai Indians,MJ McClenaghan,field,Delhi Daredevils,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,20.0,143
24,6,Pune,2017-04-22,M Nayyar,N Pandit,NJ Llong,"AY Dandekar, A Deshmukh",Rising Pune Supergiant,MS Dhoni,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Sunrisers Hyderabad,20.0,177
25,6,Rajkot,2017-04-23,Chinmay Sharma,R Pandit,C Shamshuddin,"AK Chaudhary, M Erasmus",Kings XI Punjab,HM Amla,field,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,20.0,189
26,6,Kolkata,2017-04-23,V Narayan Kutty,K Srinivasan,Nitin Menon,"CB Gaffaney, CK Nandan",Kolkata Knight Riders,NM Coulter-Nile,field,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,20.0,132
27,6,Mumbai,2017-04-24,J Srinath,Navdeep Singh,KN Ananthapadmanabhan,"A Nand Kishore, S Ravi",Rising Pune Supergiant,BA Stokes,field,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,20.0,161
28,6,Pune,2017-04-26,AJ Pycroft,N Pandit,CB Gaffaney,"AY Dandekar, NJ Llong",Kolkata Knight Riders,RV Uthappa,field,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kolkata Knight Riders,20.0,183
29,6,Bangalore,2017-04-27,Chinmay Sharma,R Pandit,M Erasmus,"AK Chaudhary, C Shamshuddin",Gujarat Lions,AJ Tye,field,Gujarat Lions,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,20.0,135
30,6,Kolkata,2017-04-28,AJ Pycroft,Navdeep Singh,VK Sharma,"NJ Llong, S Ravi",Kolkata Knight Riders,G Gambhir,field,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,20.0,161
31,6,Chandigarh,2017-04-28,S Chaturvedi,K Srinivasan,YC Barde,"Nitin Menon, CK Nandan",Sunrisers Hyderabad,Rashid Khan,field,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,20.0,208
32,6,Pune,2017-04-29,Chinmay Sharma,R Pandit,C Shamshuddin,"KN Ananthapadmanabhan, M Erasmus",Rising Pune Supergiant,LH Ferguson,field,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,20.0,158
